"hat";"mean";"se_mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"n_eff";"Rhat"
"y_hat[209]";-1.09;0;0.09;-1.27;-1.15;-1.09;-1.03;-0.93;937.68;1
"y_hat[210]";-0.39;0;0.07;-0.52;-0.43;-0.39;-0.34;-0.27;1040.85;1
"y_hat[211]";0.01;0;0.06;-0.11;-0.03;0.01;0.04;0.11;2197.69;1
"y_hat[212]";-4.12;0.01;0.31;-4.74;-4.32;-4.11;-3.9;-3.52;555.29;1
"y_hat[213]";0.06;0;0.06;-0.05;0.03;0.06;0.1;0.17;2264.88;1
"y_hat[214]";-0.3;0;0.06;-0.42;-0.34;-0.3;-0.25;-0.18;1513.74;1
"y_hat[215]";-6.02;0.04;0.78;-7.62;-6.53;-5.97;-5.46;-4.66;369.58;1
"y_hat[216]";0.37;0;0.06;0.25;0.33;0.37;0.41;0.48;1557.4;1
"y_hat[217]";-4.55;0.02;0.39;-5.34;-4.81;-4.54;-4.27;-3.82;473.55;1
"y_hat[218]";-0.14;0;0.06;-0.26;-0.18;-0.13;-0.1;-0.03;1921.18;1
"y_hat[219]";-5.85;0.04;0.72;-7.33;-6.33;-5.81;-5.32;-4.57;375.82;1
"y_hat[220]";-0.36;0;0.06;-0.49;-0.41;-0.36;-0.32;-0.24;1066.14;1
"y_hat[221]";-1.04;0;0.08;-1.21;-1.09;-1.04;-0.98;-0.88;919.38;1
"y_hat[222]";-4.99;0.02;0.49;-5.98;-5.31;-4.97;-4.64;-4.09;425.34;1
"y_hat[223]";-5.71;0.03;0.68;-7.1;-6.16;-5.68;-5.22;-4.5;381.44;1
"y_hat[224]";0.15;0;0.06;0.04;0.12;0.16;0.19;0.26;2263.62;1
"y_hat[225]";-1.02;0;0.08;-1.2;-1.08;-1.02;-0.96;-0.86;914.88;1
"y_hat[226]";-4.53;0.02;0.39;-5.3;-4.79;-4.52;-4.25;-3.81;476.92;1
"y_hat[227]";-5.45;0.03;0.61;-6.68;-5.85;-5.42;-5.01;-4.35;394.12;1
"y_hat[228]";-5.7;0.03;0.68;-7.09;-6.15;-5.67;-5.21;-4.49;381.77;1
"y_hat[229]";0.44;0;0.06;0.33;0.4;0.44;0.48;0.56;1311.07;1
"y_hat[230]";0.27;0;0.06;0.16;0.23;0.27;0.31;0.38;1952.77;1
"y_hat[231]";-4.83;0.02;0.45;-5.74;-5.13;-4.81;-4.51;-3.99;440.51;1
"y_hat[232]";-4.93;0.02;0.48;-5.89;-5.24;-4.91;-4.59;-4.06;430.76;1
"y_hat[233]";-0.04;0;0.06;-0.16;-0.08;-0.04;0;0.07;2118.64;1
"y_hat[234]";-2.36;0;0.13;-2.61;-2.44;-2.35;-2.27;-2.1;2582.67;1
"y_hat[235]";-4.97;0.02;0.48;-5.94;-5.29;-4.95;-4.62;-4.08;427.23;1
"y_hat[236]";-5.92;0.04;0.75;-7.46;-6.42;-5.88;-5.39;-4.61;372.88;1
"y_hat[237]";-0.5;0;0.07;-0.64;-0.54;-0.5;-0.45;-0.37;959.47;1
"y_hat[238]";-0.58;0;0.07;-0.73;-0.63;-0.58;-0.53;-0.45;920.34;1
"y_hat[239]";-0.04;0;0.06;-0.15;-0.07;-0.03;0;0.07;2128.74;1
"y_hat[240]";-0.14;0;0.06;-0.25;-0.17;-0.13;-0.09;-0.02;1923.89;1
"y_hat[241]";-1.64;0;0.1;-1.84;-1.71;-1.64;-1.57;-1.44;1686.09;1
"y_hat[242]";-0.12;0;0.06;-0.24;-0.16;-0.12;-0.08;-0.01;1946.75;1
"y_hat[243]";0.4;0;0.06;0.29;0.36;0.4;0.44;0.52;1425.34;1
"y_hat[244]";-1.31;0;0.09;-1.5;-1.38;-1.31;-1.25;-1.13;1353.01;1
"y_hat[245]";0.4;0;0.06;0.28;0.36;0.4;0.44;0.51;1445.89;1
"y_hat[246]";-2.91;0;0.17;-3.25;-3.02;-2.91;-2.8;-2.59;1718.54;1
