"shore";"ref_ecotype";"distAlongPath";"length_mm";"test_sex";"dur_mean";"dur_max";"mountYN";"size_ratio";"size_ratio2";"log_male";"log_female";"shape";"y_rep";"y_rep_se";"preds";"uci_preds";"lci_preds";"y_preds"
"CZB";"wave";105.2006847;10.46706241;"male";NA;NA;0;-0.431310801;0.186029007;2.348233413;1.916922612;0.046752757;0.206;0.00656875630183758;0.201;0.232;0.172;0
"CZB";"wave";105.2006847;10.46706241;"male";NA;NA;0;-0.402323264;0.161864009;2.348233413;1.945910149;0.046752757;0.22425;0.00659555605805369;0.224;0.255;0.194;0
"CZB";"crab";105.2006847;10.46706241;"male";24;29;1;0.003141844;9.87e-06;2.348233413;2.351375257;0.046752757;0.56725;0.00783483921669027;0.543;0.568;0.516;0
"CZB";"crab";105.2006847;10.46706241;"male";45.5;58;1;0.297941384;0.088769068;2.348233413;2.646174797;0.046752757;0.62525;0.00765459062030042;0.62;0.649;0.593;0
"CZD";"crab";105.2449257;13.58706853;"female";NA;NA;0;0.357826698;0.128039946;2.251291799;2.609118497;0.040551632;0.6175;0.00768525883108859;0.617;0.646;0.59;1
"CZD";"crab";105.2449257;13.58706853;"female";NA;NA;0;0.107682545;0.011595531;2.501435952;2.609118497;0.040551632;0.5935;0.00780435467417142;0.588;0.615;0.561;1
"CZD";"wave";105.2449257;13.58706853;"female";NA;NA;0;1.653607052;2.734416282;0.955511445;2.609118497;0.040551632;0.0985;0.00494321765214292;0.094;0.166;0.049;0
"CZB";"wave";105.2544446;11.15802229;"male";NA;NA;0;-0.725759774;0.526727249;2.412158727;1.686398954;0.052196765;0.04625;0.00332121845080981;0.051;0.069;0.037;1
"CZB";"wave";105.2544446;11.15802229;"male";NA;NA;0;-0.65430081;0.428109549;2.412158727;1.757857918;0.052196765;0.0735;0.00430959360644093;0.074;0.095;0.057;0
"CZB";"crab";105.2544446;11.15802229;"male";NA;NA;0;-0.525089078;0.27571854;2.412158727;1.887069649;0.052196765;0.15;0.00569715203179316;0.137;0.163;0.113;0
"CZB";"crab";105.2544446;11.15802229;"male";NA;NA;0;-0.283927021;0.080614553;2.412158727;2.128231706;0.052196765;0.3275;0.00742123346732497;0.325;0.357;0.292;0
"CZB";"wave";105.2758422;10.91275846;"male";NA;NA;0;-0.581643834;0.33830955;2.389932606;1.808288771;0.020517724;0.11025;0.00498201882379735;0.106;0.129;0.085;0
"CZB";"wave";105.2758422;10.91275846;"male";NA;NA;0;-0.348712277;0.121600252;2.389932606;2.041220329;0.020517724;0.27825;0.00708655693530358;0.268;0.301;0.236;1
"CZB";"crab";105.2758422;10.91275846;"male";5;5;1;-0.149222916;0.022267479;2.389932606;2.240709689;0.020517724;0.44225;0.00790877812580527;0.44;0.469;0.41;0
"CZB";"crab";105.2758422;10.91275846;"male";157;157;0;-0.128169507;0.016427423;2.389932606;2.261763098;0.020517724;0.46775;0.00789021851801745;0.457;0.485;0.428;0
"CZB";"crab";105.3608666;14.9262937;"female";8;8;1;0.483920852;0.234179391;2.219203484;2.703124336;0.018634862;0.584;0.00779430483089732;0.594;0.622;0.564;0
"CZB";"crab";105.3608666;14.9262937;"female";NA;NA;0;0.078455743;0.006155304;2.624668592;2.703124336;0.018634862;0.56575;0.00786751888337377;0.578;0.604;0.551;1
"CZB";"wave";105.3608666;14.9262937;"female";NA;NA;0;1.450361367;2.103548095;1.252762968;2.703124336;0.018634862;0.13025;0.0053224351996162;0.131;0.18;0.091;0
"CZB";"wave";105.3608666;14.9262937;"female";NA;NA;0;1.26803981;1.607924961;1.435084525;2.703124336;0.018634862;0.1885;0.00632034676938261;0.187;0.223;0.155;0
"CZB";"wave";105.4450662;10.95121727;"male";NA;NA;0;-0.552900983;0.305699497;2.393450616;1.840549633;-0.000261902;0.11875;0.00511553042585854;0.121;0.146;0.098;0
"CZB";"wave";105.4450662;10.95121727;"male";NA;NA;0;-0.185176203;0.034290226;2.393450616;2.208274414;-0.000261902;0.39625;0.00773459374240755;0.411;0.441;0.38;1
