shore;ref_ecotype;distAlongPath;test_sex;dur_mean;dur_max;mountYN;size_ratio;size_ratio2;log_male;log_female;shape
CZD;wave;113.2428308;female;NA;NA;0;0.989679052;0.979464625;1.410986974;2.400666025;0.077499443
CZD;wave;113.2428308;female;NA;NA;0;0.695917933;0.48430177;1.704748092;2.400666025;0.077499443
CZC;crab;61.61835675;female;6;7;1;0.003903915;1.52e-05;2.397895273;2.401799188;0.012592993
CZC;wave;61.61835675;female;NA;NA;0;0.943184165;0.88959637;1.458615023;2.401799188;0.012592993
CZC;crab;53.73421154;female;71;71;1;0.100308375;0.01006177;2.302585093;2.402893468;0.035455612
CZC;crab;53.73421154;female;NA;NA;0;-0.146551703;0.021477402;2.549445171;2.402893468;0.035455612
CZC;wave;53.73421154;female;6.333333333;9;1;0.562343835;0.316230589;1.840549633;2.402893468;0.035455612
CZD;crab;134.0722454;female;10;10;1;0.0326507;0.001066068;2.370243741;2.402894442;-0.009051394
CZD;crab;134.0722454;female;NA;NA;0;-0.039452594;0.001556507;2.442347035;2.402894442;-0.009051394
CZD;wave;134.0722454;female;NA;NA;0;1.150131473;1.322802405;1.252762968;2.402894442;-0.009051394
CZD;crab;94.45176804;female;NA;NA;0;0.032880684;0.001081139;2.370243741;2.403124425;0.121098566
CZD;crab;94.45176804;female;NA;NA;0;0.032880684;0.001081139;2.370243741;2.403124425;0.121098566
CZD;wave;94.45176804;female;NA;NA;0;1.271722314;1.617277643;1.131402111;2.403124425;0.121098566
CZD;wave;94.45176804;female;NA;NA;0;1.042147872;1.086072187;1.360976553;2.403124425;0.121098566
CZD;crab;105.0504384;female;NA;NA;0;-0.183698381;0.033745095;2.587764035;2.404065654;0.148457153
CZD;crab;105.0504384;female;NA;NA;0;-0.227823186;0.051903404;2.63188884;2.404065654;0.148457153
CZD;wave;105.0504384;female;NA;NA;0;1.151302686;1.325497874;1.252762968;2.404065654;0.148457153
CZD;wave;105.0504384;female;NA;NA;0;1.095732834;1.200630444;1.30833282;2.404065654;0.148457153
CZC;crab;68.6067773;female;3;3;1;0.091894346;0.008444571;2.312535424;2.40442977;0.078905722
CZC;crab;68.6067773;female;3;3;1;0.091894346;0.008444571;2.312535424;2.40442977;0.078905722
CZC;crab;68.6067773;female;NA;NA;0;-0.137172223;0.018816219;2.541601993;2.40442977;0.078905722
CZC;crab;68.6067773;female;NA;NA;0;-0.137172223;0.018816219;2.541601993;2.40442977;0.078905722
CZC;wave;68.6067773;female;NA;NA;0;1.018135409;1.036599711;1.386294361;2.40442977;0.078905722
CZC;wave;68.6067773;female;NA;NA;0;1.018135409;1.036599711;1.386294361;2.40442977;0.078905722
CZB;crab;94.94309108;female;1;1;1;0.103098526;0.010629306;2.302585093;2.405683619;0.040010307
CZB;crab;94.94309108;female;80;80;1;-0.120045025;0.014410808;2.525728644;2.405683619;0.040010307
CZB;wave;94.94309108;female;NA;NA;0;1.044707066;1.091412854;1.360976553;2.405683619;0.040010307
CZB;wave;94.94309108;female;NA;NA;0;0.719284666;0.51737043;1.686398954;2.405683619;0.040010307
CZB;crab;56.27223729;male;4;4;1;0.537643891;0.289060954;1.869301217;2.406945108;3.8e-05
CZB;crab;65.08117683;male;NA;NA;0;0.815801439;0.665531988;1.591143669;2.406945108;-0.042661694
CZB;crab;119.2233388;male;11;11;1;0.51394269;0.264137088;1.893002418;2.406945108;-0.00274651
CZB;crab;132.1149252;male;12;12;1;0.930438745;0.865716259;1.476506363;2.406945108;-0.033938534
CZB;crab;135.8623148;male;4;4;1;0.480947022;0.231310038;1.925998087;2.406945108;-0.044691246
CZB;crab;136.5851294;male;86;86;1;0.782838601;0.612836275;1.624106507;2.406945108;-0.029687737
CZB;crab;142.6941546;male;68;131;1;0.637624417;0.406564897;1.769320691;2.406945108;-0.064292537
CZB;crab;61.32555994;male;NA;NA;0;1.174307809;1.37899883;1.232637299;2.406945108;-0.034656357
CZB;crab;74.41342196;male;122;122;1;0.061369778;0.00376625;2.34557533;2.406945108;0.027444194
CZB;crab;80.61664388;male;NA;NA;0;0.084494061;0.007139246;2.322451048;2.406945108;0.051890304
CZC;crab;142.0180529;male;NA;NA;0;1.035791255;1.072863524;1.371153853;2.406945108;-0.101117416
CZC;crab;145.8637533;male;NA;NA;0;1.194377403;1.42653738;1.212567706;2.406945108;-0.036437625
CZC;crab;151.3424744;male;6.5;8;1;0.640820907;0.410651434;1.766124202;2.406945108;-0.047616916
CZC;crab;169.848979;male;NA;NA;0;1.10627711;1.223849044;1.300667998;2.406945108;-0.067822575
